https://www.CryptoDataDownload.com
id,unix,date,symbol,open,high,low,close,volto,volfrom
9929298,1605657600,2020-11-18 00:00:00,LTC/USD,76.37,77.18,68.34,73.48,669396.20993694,49187233.506166354
9929299,1605571200,2020-11-17 00:00:00,LTC/USD,73.82,77.04,71.48,76.41,608283.05635232,46478908.33588077
9929300,1605484800,2020-11-16 00:00:00,LTC/USD,62.33,74.65,62.16,73.83,633900.68830653,46800887.81767111
9929301,1605398400,2020-11-15 00:00:00,LTC/USD,63.89,64.5,61.08,62.37,132175.66639613,8243796.313126627
9929302,1605312000,2020-11-14 00:00:00,LTC/USD,66.01,66.34,61.74,63.85,172711.38054471,11027621.647779735
9929303,1605225600,2020-11-13 00:00:00,LTC/USD,60.74,66.66,60.17,66.01,481039.87932094,31753442.433975253
9929304,1605139200,2020-11-12 00:00:00,LTC/USD,59.33,60.8,57.7,60.74,188590.08229276,11454961.598462243
9929305,1605052800,2020-11-11 00:00:00,LTC/USD,57.99,60.63,57.87,59.33,199943.29495809,11862635.689863479
9929306,1604966400,2020-11-10 00:00:00,LTC/USD,59.29,59.63,57.12,57.99,167252.84504751,9698992.484305104
9929307,1604880000,2020-11-09 00:00:00,LTC/USD,60.98,61.88,57.45,59.25,228954.64363444,13565562.63534057
9929308,1604793600,2020-11-08 00:00:00,LTC/USD,58.97,62.07,58.68,60.99,146472.86454459,8933380.008574545
9929309,1604707200,2020-11-07 00:00:00,LTC/USD,63.35,64.87,56.98,58.94,431041.52471115,25405587.466475178
9929310,1604620800,2020-11-06 00:00:00,LTC/USD,59.02,63.74,58.73,63.29,419560.67088908,26553994.860569872
9929311,1604534400,2020-11-05 00:00:00,LTC/USD,54.77,59.79,54.71,59.04,273647.72963001,16156161.957355792
9929312,1604448000,2020-11-04 00:00:00,LTC/USD,54.08,55.34,51.65,54.75,206517.92237682,11306856.250130896
9929313,1604361600,2020-11-03 00:00:00,LTC/USD,53.85,54.4,51.25,54.02,181262.39153026,9791794.390464647
9929314,1604275200,2020-11-02 00:00:00,LTC/USD,55.67,56.85,53.12,53.85,160154.91254076,8624342.040319927
9929315,1604188800,2020-11-01 00:00:00,LTC/USD,55.71,56.2,54.11,55.65,71187.07017078,3961560.455003907
9929316,1604102400,2020-10-31 00:00:00,LTC/USD,54.11,56.5,53.65,55.68,161337.08481029,8983248.882236946
9929317,1604016000,2020-10-30 00:00:00,LTC/USD,54.93,55.81,52.27,54.08,166459.43264668,9002126.117532454
9929318,1603929600,2020-10-29 00:00:00,LTC/USD,55.84,56.55,53.44,54.94,188062.91755927,10332176.690706292
9929319,1603843200,2020-10-28 00:00:00,LTC/USD,57.81,60.9,54.71,55.84,257032.53810454,14352696.927757515
9929320,1603756800,2020-10-27 00:00:00,LTC/USD,56.83,59.1,56.51,58.18,173980.76237557,10122200.755010663
9929321,1603670400,2020-10-26 00:00:00,LTC/USD,58.88,59.35,55.0,56.89,238259.33693771,13554573.678386321
9929322,1603584000,2020-10-25 00:00:00,LTC/USD,59.18,59.99,56.56,58.85,218143.150177,12837724.387916451
9929323,1603497600,2020-10-24 00:00:00,LTC/USD,55.45,59.67,54.91,59.21,243362.27597588,14409480.360531855
9929324,1603411200,2020-10-23 00:00:00,LTC/USD,54.42,57.04,53.16,55.46,254988.04944849,14141637.222413255
9929325,1603324800,2020-10-22 00:00:00,LTC/USD,53.09,56.32,53.09,54.42,326777.67416153,17783241.02787046
9929326,1603238400,2020-10-21 00:00:00,LTC/USD,46.95,55.19,46.9,53.13,475278.90353551,25251568.14484165
9929327,1603152000,2020-10-20 00:00:00,LTC/USD,48.01,48.46,46.45,46.95,87535.07508404,4109771.775195678
9929328,1603065600,2020-10-19 00:00:00,LTC/USD,47.58,48.48,46.6,48.01,77277.50409606,3710092.9716518405
9929329,1602979200,2020-10-18 00:00:00,LTC/USD,46.93,47.98,46.81,47.58,45321.78025531,2156410.30454765
9929330,1602892800,2020-10-17 00:00:00,LTC/USD,47.65,47.67,46.34,46.93,63334.50061677,2972288.113945016
9929331,1602806400,2020-10-16 00:00:00,LTC/USD,49.55,49.9,45.64,47.64,169332.3780818,8066994.491816953
9929332,1602720000,2020-10-15 00:00:00,LTC/USD,49.81,50.26,48.88,49.58,76419.28988929,3788868.3927109977
9929333,1602633600,2020-10-14 00:00:00,LTC/USD,49.97,51.04,49.29,49.84,76591.8499199,3817337.8000078164
9929334,1602547200,2020-10-13 00:00:00,LTC/USD,50.6,50.72,48.86,49.97,105155.79488403,5254635.070354979
9929335,1602460800,2020-10-12 00:00:00,LTC/USD,50.47,51.55,49.29,50.61,158153.17687133,8004132.281458012
9929336,1602374400,2020-10-11 00:00:00,LTC/USD,48.86,51.25,48.71,50.48,93614.45943956,4725657.912508989
9929337,1602288000,2020-10-10 00:00:00,LTC/USD,47.82,50.48,47.8,48.9,147763.95727087,7225657.510545543
9929338,1602201600,2020-10-09 00:00:00,LTC/USD,47.25,48.22,46.61,47.82,81771.81643844,3910328.262086201
9929339,1602115200,2020-10-08 00:00:00,LTC/USD,46.56,47.49,45.5,47.24,93883.49406285,4435056.259529035
9929340,1602028800,2020-10-07 00:00:00,LTC/USD,45.95,46.92,45.03,46.58,85688.47973596,3991369.386101017
9929341,1601942400,2020-10-06 00:00:00,LTC/USD,46.35,48.22,45.55,46.0,134792.02685094,6200433.23514324
9929342,1601856000,2020-10-05 00:00:00,LTC/USD,46.68,47.09,45.55,46.35,56481.82798815,2617932.7272507525
9929343,1601769600,2020-10-04 00:00:00,LTC/USD,45.59,47.07,45.31,46.71,63279.3282807,2955777.423991497
9929344,1601683200,2020-10-03 00:00:00,LTC/USD,44.94,46.0,44.77,45.56,60764.30666908,2768421.811843285
9929345,1601596800,2020-10-02 00:00:00,LTC/USD,46.15,46.96,43.25,44.9,138524.84881147,6219765.711635003
9929346,1601510400,2020-10-01 00:00:00,LTC/USD,46.33,48.49,45.28,46.16,193121.14288149,8914471.955409577
9929347,1601424000,2020-09-30 00:00:00,LTC/USD,45.67,46.69,45.43,46.32,64965.81954228,3009216.7611984094
9929348,1601337600,2020-09-29 00:00:00,LTC/USD,45.2,45.82,44.95,45.69,62480.95831354,2854754.9853456425
9929349,1601251200,2020-09-28 00:00:00,LTC/USD,46.1,47.13,44.8,45.21,118610.25841464,5362369.782925875
9929350,1601164800,2020-09-27 00:00:00,LTC/USD,46.08,46.63,44.6,46.07,70381.75989139,3242487.6781963375
9929351,1601078400,2020-09-26 00:00:00,LTC/USD,46.04,46.56,45.15,46.06,76516.40424506,3524345.5795274638
9929352,1600992000,2020-09-25 00:00:00,LTC/USD,44.94,46.55,44.0,46.04,120549.61004812,5550104.046615444
9929353,1600905600,2020-09-24 00:00:00,LTC/USD,42.97,45.23,42.59,44.94,85955.87440661,3862856.9958330533
9929354,1600819200,2020-09-23 00:00:00,LTC/USD,44.49,45.12,42.24,42.95,96888.68240075,4161368.9091122127
9929355,1600732800,2020-09-22 00:00:00,LTC/USD,43.15,44.82,42.77,44.49,118743.82272467,5282912.673020569
9929356,1600646400,2020-09-21 00:00:00,LTC/USD,47.1,47.68,41.64,43.13,227727.68419327,9821895.019255735
9929357,1600560000,2020-09-20 00:00:00,LTC/USD,48.49,48.52,46.2,47.09,93632.44447626,4409151.810387084
9929358,1600473600,2020-09-19 00:00:00,LTC/USD,48.55,48.99,47.98,48.48,56194.76243016,2724322.082614157
9929359,1600387200,2020-09-18 00:00:00,LTC/USD,48.88,49.11,47.5,48.55,102583.85681777,4980446.248502733
9929360,1600300800,2020-09-17 00:00:00,LTC/USD,47.73,49.62,47.65,48.88,95184.10095997,4652598.854923334
9929361,1600214400,2020-09-16 00:00:00,LTC/USD,48.32,48.76,47.0,47.74,117954.97407004,5631170.46210371
9929362,1600128000,2020-09-15 00:00:00,LTC/USD,49.08,50.33,48.14,48.3,139830.52041119,6753814.135860477
9929363,1600041600,2020-09-14 00:00:00,LTC/USD,48.19,49.66,47.15,49.1,221446.07854631,10873002.45662382
9929364,1599955200,2020-09-13 00:00:00,LTC/USD,50.85,51.05,47.31,48.18,135220.91970029,6514943.911159972
9929365,1599868800,2020-09-12 00:00:00,LTC/USD,48.99,51.31,48.4,50.85,123427.37249075,6276281.891154638
9929366,1599782400,2020-09-11 00:00:00,LTC/USD,48.74,49.4,47.44,48.98,106044.69618162,5194069.218975748
9929367,1599696000,2020-09-10 00:00:00,LTC/USD,47.81,49.49,47.81,48.71,123417.05048315,6011644.529034236
9929368,1599609600,2020-09-09 00:00:00,LTC/USD,47.47,48.86,46.55,47.86,118636.19223461,5677928.160348435
9929369,1599523200,2020-09-08 00:00:00,LTC/USD,48.88,49.36,46.0,47.49,159074.566176,7554451.14769824
9929370,1599436800,2020-09-07 00:00:00,LTC/USD,47.89,49.16,45.31,48.88,181580.72302902,8875665.741658498
9929371,1599350400,2020-09-06 00:00:00,LTC/USD,47.83,49.17,46.3,47.94,156230.93393026,7489710.972616665
9929372,1599264000,2020-09-05 00:00:00,LTC/USD,50.76,51.07,45.14,47.83,334390.52556155,15993898.837608935
9929373,1599177600,2020-09-04 00:00:00,LTC/USD,50.06,52.43,46.51,50.76,327758.79085871,16637036.22398812
9929374,1599091200,2020-09-03 00:00:00,LTC/USD,58.12,58.69,45.14,50.07,405821.17981048,20319466.47311073
9929375,1599004800,2020-09-02 00:00:00,LTC/USD,62.66,63.18,56.77,58.12,261021.89575086,15170592.581039984
9929376,1598918400,2020-09-01 00:00:00,LTC/USD,60.93,64.38,59.77,62.71,243590.37238101,15275552.252013138
9929377,1598832000,2020-08-31 00:00:00,LTC/USD,62.9,63.73,60.59,60.93,158964.93459098,9685733.464628411
9929378,1598745600,2020-08-30 00:00:00,LTC/USD,56.94,62.94,56.94,62.9,205877.39035288,12949687.853196152
9929379,1598659200,2020-08-29 00:00:00,LTC/USD,57.4,58.2,56.95,56.95,91471.25516673,5209287.981745274
9929380,1598572800,2020-08-28 00:00:00,LTC/USD,56.16,58.25,55.34,57.4,99285.15621213,5698967.966576261
9929381,1598486400,2020-08-27 00:00:00,LTC/USD,58.09,59.27,53.98,56.15,177729.68057111,9979521.564067826
9929382,1598400000,2020-08-26 00:00:00,LTC/USD,58.35,59.13,57.0,58.09,121801.91850844,7075473.44615528
9929383,1598313600,2020-08-25 00:00:00,LTC/USD,62.05,62.32,56.63,58.38,170447.19342281,9950707.152023649
9929384,1598227200,2020-08-24 00:00:00,LTC/USD,60.61,62.99,60.03,62.04,143649.87796524,8912038.42896349
9929385,1598140800,2020-08-23 00:00:00,LTC/USD,60.28,61.61,58.08,60.62,160307.47038685,9717838.854850847
9929386,1598054400,2020-08-22 00:00:00,LTC/USD,59.09,60.54,57.75,60.28,150189.28633804,9053410.180457052
9929387,1597968000,2020-08-21 00:00:00,LTC/USD,62.82,63.87,58.77,59.09,253293.77485154,14967129.155977499
9929388,1597881600,2020-08-20 00:00:00,LTC/USD,62.13,63.71,61.03,62.8,212675.27832847,13356007.479027916
9929389,1597795200,2020-08-19 00:00:00,LTC/USD,65.45,67.15,58.76,62.12,399762.61609727,24833253.71196241
9929390,1597708800,2020-08-18 00:00:00,LTC/USD,67.29,68.5,63.3,65.4,459641.26117711,30060538.480982997
9929391,1597622400,2020-08-17 00:00:00,LTC/USD,63.94,69.0,61.42,67.3,607245.16022831,40867599.283365265
9929392,1597536000,2020-08-16 00:00:00,LTC/USD,59.91,64.64,57.64,63.91,432590.7969034,27646877.830096293
9929393,1597449600,2020-08-15 00:00:00,LTC/USD,56.84,60.89,56.57,59.9,358740.07189436,21488530.306472164
9929394,1597363200,2020-08-14 00:00:00,LTC/USD,57.22,57.92,55.92,56.85,223915.26001336,12729582.531759517
9929395,1597276800,2020-08-13 00:00:00,LTC/USD,54.54,57.35,51.89,57.18,247877.52059308,14173636.627512313
9929396,1597190400,2020-08-12 00:00:00,LTC/USD,54.1,55.09,51.61,54.55,186859.8909026,10193207.04873683
9929397,1597104000,2020-08-11 00:00:00,LTC/USD,58.29,59.7,52.41,54.12,275618.67142667,14916482.49761138
9929398,1597017600,2020-08-10 00:00:00,LTC/USD,57.01,59.49,56.57,58.28,187943.31960366,10953336.666501304
9929399,1596931200,2020-08-09 00:00:00,LTC/USD,58.46,58.72,56.1,56.97,118709.29872856,6762868.748566063
9929400,1596844800,2020-08-08 00:00:00,LTC/USD,57.23,58.61,56.51,58.46,119001.48445355,6956826.781154533
9929401,1596758400,2020-08-07 00:00:00,LTC/USD,59.08,61.1,54.76,57.25,282108.70523961,16150723.374967672
9929402,1596672000,2020-08-06 00:00:00,LTC/USD,58.94,60.78,57.78,59.08,206942.35713422,12226154.459489716
9929403,1596585600,2020-08-05 00:00:00,LTC/USD,57.65,59.92,56.73,58.97,207576.91387004,12240810.610916259
9929404,1596499200,2020-08-04 00:00:00,LTC/USD,58.55,59.6,56.33,57.65,183754.76070154,10593461.95444378
9929405,1596412800,2020-08-03 00:00:00,LTC/USD,56.8,60.1,55.72,58.54,268801.25123756,15735625.247446762
9929406,1596326400,2020-08-02 00:00:00,LTC/USD,61.72,65.31,52.7,56.77,643179.88806517,36513322.245459706
9929407,1596240000,2020-08-01 00:00:00,LTC/USD,58.21,62.36,57.64,61.72,393363.98160172,24278424.944458157
9929408,1596153600,2020-07-31 00:00:00,LTC/USD,56.84,59.22,55.85,58.23,215041.08650029,12521842.466911886
9929409,1596067200,2020-07-30 00:00:00,LTC/USD,55.2,59.14,53.92,56.82,311150.63276624,17679578.953777757
9929410,1595980800,2020-07-29 00:00:00,LTC/USD,55.86,56.99,54.77,55.2,256964.95440846,14184465.483346993
9929411,1595894400,2020-07-28 00:00:00,LTC/USD,53.39,57.99,51.71,55.86,565218.61558367,31573111.866503805
9929412,1595808000,2020-07-27 00:00:00,LTC/USD,48.13,56.27,46.93,53.38,687116.98638302,36678304.733125605
9929413,1595721600,2020-07-26 00:00:00,LTC/USD,49.23,50.79,47.64,48.14,250162.87842471,12042840.96736554
9929414,1595635200,2020-07-25 00:00:00,LTC/USD,44.18,49.64,44.09,49.23,417779.65692932,20567292.51063042
9929415,1595548800,2020-07-24 00:00:00,LTC/USD,44.96,45.02,44.0,44.16,83961.81951495,3707753.9497801913
9929416,1595462400,2020-07-23 00:00:00,LTC/USD,45.06,45.75,44.55,44.98,159555.06997036,7176787.0472667925
